"No.","Time","Source","Destination","Protocol","Length","Info"
"154","0.811139468","34.96.118.58","192.168.1.196","TLSv1.3","138","Application Data"
"155","0.811139549","34.96.118.58","192.168.1.196","TLSv1.3","338","Application Data"
"156","0.811248390","192.168.1.196","34.96.118.58","TCP","66","34824  >  443 [ACK] Seq=4278 Ack=21096 Win=64128 Len=0 TSval=4134288739 TSecr=2960359265"
"157","0.813080294","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=21096 Ack=4278 Win=265984 Len=0 TSval=2960359268 TSecr=4134288738"
"158","0.846625146","192.168.1.196","34.96.118.58","TLSv1.3","426","Application Data"
"159","0.850007065","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=21096 Ack=4638 Win=265728 Len=0 TSval=2960359304 TSecr=4134288775"
"160","0.850482837","192.168.1.196","34.96.118.58","TLSv1.3","101","Application Data"
"161","0.853152826","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=21096 Ack=4673 Win=265728 Len=0 TSval=2960359308 TSecr=4134288778"
"162","0.856468610","192.168.1.196","34.96.118.58","TLSv1.3","177","Application Data"
"163","0.863360914","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=21096 Ack=4784 Win=265728 Len=0 TSval=2960359314 TSecr=4134288784"
"164","1.076399077","34.96.118.58","192.168.1.196","TLSv1.3","373","Application Data"
"165","1.076399457","34.96.118.58","192.168.1.196","TLSv1.3","880","Application Data"
"166","1.076399482","34.96.118.58","192.168.1.196","TLSv1.3","881","Application Data"
"167","1.076399509","34.96.118.58","192.168.1.196","TLSv1.3","105","Application Data"
"168","1.076486389","192.168.1.196","34.96.118.58","TCP","66","34824  >  443 [ACK] Seq=4784 Ack=23071 Win=62976 Len=0 TSval=4134289004 TSecr=2960359530"
"169","1.076906928","192.168.1.196","34.96.118.58","TLSv1.3","105","Application Data"
"170","1.079837030","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=23071 Ack=4823 Win=265728 Len=0 TSval=2960359534 TSecr=4134289005"
"171","1.080702284","192.168.1.196","34.96.118.58","TLSv1.3","204","Application Data"
"172","1.083832455","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=23071 Ack=4961 Win=265728 Len=0 TSval=2960359538 TSecr=4134289009"
"173","1.276019514","34.96.118.58","192.168.1.196","TLSv1.3","179","Application Data"
"174","1.276019701","34.96.118.58","192.168.1.196","TLSv1.3","969","Application Data"
"175","1.276019721","34.96.118.58","192.168.1.196","TLSv1.3","801","Application Data"
"176","1.276093705","34.96.118.58","192.168.1.196","TLSv1.3","105","Application Data"
