"No.","Time","Source","Destination","Protocol","Length","Info"
"209","1.349657240","144.195.42.38","192.168.1.196","UDP","144","8801  >  54482 Len=102"
"210","1.352447662","144.195.42.38","192.168.1.196","UDP","1072","8801  >  52088 Len=1030"
"211","1.352447930","144.195.42.38","192.168.1.196","UDP","1072","8801  >  52088 Len=1030"
"212","1.361880612","192.168.1.196","144.195.42.38","UDP","276","54482  >  8801 Len=234"
"213","1.362261777","192.168.1.196","144.195.42.38","UDP","285","54482  >  8801 Len=243"
"214","1.382103981","192.168.1.196","144.195.42.38","UDP","300","54482  >  8801 Len=258"
"215","1.405245508","144.195.42.38","192.168.1.196","UDP","1155","8801  >  52088 Len=1113"
"216","1.405253272","144.195.42.38","192.168.1.196","UDP","1155","8801  >  52088 Len=1113"
"217","1.405626625","192.168.1.196","144.195.42.38","UDP","325","54482  >  8801 Len=283"
"218","1.424849863","144.195.42.38","192.168.1.196","UDP","1154","8801  >  52088 Len=1112"
"219","1.424850157","144.195.42.38","192.168.1.196","UDP","1154","8801  >  52088 Len=1112"
"220","1.425047090","192.168.1.196","144.195.42.38","UDP","343","54482  >  8801 Len=301"
"221","1.434737042","144.195.42.38","192.168.1.196","UDP","1154","8801  >  52088 Len=1112"
"222","1.441832428","144.195.42.38","192.168.1.196","UDP","106","8801  >  54482 Len=64"
"223","1.446616201","192.168.1.196","144.195.42.38","UDP","351","54482  >  8801 Len=309"
"224","1.447145818","144.195.42.38","192.168.1.196","TCP","66","443  >  37856 [ACK] Seq=332 Ack=907 Win=16 Len=0 TSval=3744063670 TSecr=516257848"
"225","1.450563065","144.195.42.38","192.168.1.196","TCP","66","443  >  37856 [ACK] Seq=332 Ack=957 Win=16 Len=0 TSval=3744063672 TSecr=516257897"
"226","1.451084417","144.195.42.38","192.168.1.196","UDP","151","8801  >  54482 Len=109"
"227","1.466082002","144.195.42.38","192.168.1.196","UDP","1069","8801  >  52088 Len=1027"
"228","1.466082267","144.195.42.38","192.168.1.196","UDP","1069","8801  >  52088 Len=1027"
"229","1.466082284","144.195.42.38","192.168.1.196","UDP","1069","8801  >  52088 Len=1027"
"230","1.467802851","192.168.1.196","144.195.42.38","UDP","359","54482  >  8801 Len=317"
"231","1.490473413","192.168.1.196","144.195.42.38","UDP","348","54482  >  8801 Len=306"
"232","1.511298529","192.168.1.196","144.195.42.38","UDP","343","54482  >  8801 Len=301"
"233","1.532162591","192.168.1.196","144.195.42.38","UDP","334","54482  >  8801 Len=292"
"234","1.547583671","144.195.42.38","192.168.1.196","UDP","1045","8801  >  52088 Len=1003"
"235","1.547584032","144.195.42.38","192.168.1.196","UDP","1045","8801  >  52088 Len=1003"
"236","1.547584081","144.195.42.38","192.168.1.196","UDP","1045","8801  >  52088 Len=1003"
"237","1.547584133","144.195.42.38","192.168.1.196","UDP","1044","8801  >  52088 Len=1002"
"238","1.553258455","192.168.1.196","144.195.42.38","UDP","331","54482  >  8801 Len=289"
"239","1.564302465","144.195.42.38","192.168.1.196","UDP","144","8801  >  54482 Len=102"
"240","1.565764304","144.195.42.38","192.168.1.196","UDP","1044","8801  >  52088 Len=1002"
"241","1.565819754","fe80::20c:29ff:fee3:884c","ff02::16","ICMPv6","130","Multicast Listener Report Message v2"
"242","1.565927852","fe80::20c:29ff:fee3:884c","ff02::16","ICMPv6","130","Multicast Listener Report Message v2"
"243","1.574127322","192.168.1.196","144.195.42.38","UDP","334","54482  >  8801 Len=292"
"244","1.585051234","144.195.42.38","192.168.1.196","UDP","137","8801  >  54482 Len=95"
"245","1.595262905","192.168.1.196","144.195.42.38","UDP","333","54482  >  8801 Len=291"
"246","1.608029868","144.195.42.38","192.168.1.196","UDP","1247","8801  >  52088 Len=1205"
"247","1.608030571","144.195.42.38","192.168.1.196","UDP","1247","8801  >  52088 Len=1205"
"248","1.608030598","144.195.42.38","192.168.1.196","UDP","1247","8801  >  52088 Len=1205"
"249","1.608415526","192.168.1.196","144.195.42.38","UDP","194","52088  >  8801 Len=152"
"250","1.617083776","192.168.1.196","144.195.42.38","UDP","334","54482  >  8801 Len=292"
"251","1.638471516","fe80::22b0:1ff:fe33:6ba2","ff02::1:ffb1:4cae","ICMPv6","86","Neighbor Solicitation for 2a0d:6fc2:4940:600:94ae:ea0:eb1:4cae from 20:b0:01:33:6b:a2"
"252","1.639565321","192.168.1.196","144.195.42.38","UDP","332","54482  >  8801 Len=290"
"253","1.659529951","192.168.1.196","144.195.42.38","UDP","335","54482  >  8801 Len=293"
"254","1.664288031","144.195.42.38","192.168.1.196","UDP","144","8801  >  54482 Len=102"
"255","1.667233343","144.195.42.38","192.168.1.196","UDP","1196","8801  >  52088 Len=1154"
"256","1.667233542","144.195.42.38","192.168.1.196","UDP","1189","8801  >  52088 Len=1147"
"257","1.677673691","144.195.42.38","192.168.1.196","UDP","1189","8801  >  52088 Len=1147"
"258","1.680789510","192.168.1.196","144.195.42.38","UDP","335","54482  >  8801 Len=293"
"259","1.682092013","192.168.1.196","144.195.42.38","UDP","331","54482  >  8801 Len=289"
"260","1.698438964","144.195.42.38","192.168.1.196","UDP","1189","8801  >  52088 Len=1147"
"261","1.698439231","144.195.42.38","192.168.1.196","UDP","1189","8801  >  52088 Len=1147"
"262","1.702496366","192.168.1.196","144.195.42.38","UDP","328","54482  >  8801 Len=286"
"263","1.723983340","192.168.1.196","144.195.42.38","UDP","317","54482  >  8801 Len=275"
"264","1.739211920","144.195.42.38","192.168.1.196","UDP","1054","8801  >  52088 Len=1012"
"265","1.739212240","144.195.42.38","192.168.1.196","UDP","1054","8801  >  52088 Len=1012"
"266","1.745529615","192.168.1.196","144.195.42.38","UDP","327","54482  >  8801 Len=285"
"267","1.746322799","144.195.42.38","192.168.1.196","UDP","152","8801  >  54482 Len=110"
"268","1.749141777","144.195.42.38","192.168.1.196","UDP","1053","8801  >  52088 Len=1011"
"269","1.749141826","144.195.42.38","192.168.1.196","UDP","1053","8801  >  52088 Len=1011"
"270","1.766945082","192.168.1.196","144.195.42.38","UDP","330","54482  >  8801 Len=288"
"271","1.788741522","192.168.1.196","144.195.42.38","UDP","323","54482  >  8801 Len=281"
